600 -17.106 6.0229 2.577 -0.04603 -0.157 2.7437 65.769 0 0.06664 -0
600.02 -17.123 5.977 2.567 -0.037607 -0.14563 2.743 65.769 0 -0.032066 -0
600.04 -17.138 5.9308 2.559 -0.030077 -0.13394 2.7423 66.178 0 -0.051438 -0
600.06 -17.153 5.8844 2.5508 -0.023345 -0.12226 2.7417 66.453 0 -0.025911 -0
600.08 -17.167 5.838 2.5425 -0.017526 -0.11119 2.7411 66.52 0 0.013003 -0
600.1 -17.18 5.7914 2.5343 -0.01261 -0.10142 2.7404 66.385 0 0.038879 -0
600.12 -17.193 5.7448 2.5293 -0.0083557 -0.092821 2.7398 66.385 0 0.017263 -0
600.14 -17.205 5.6981 2.5255 -0.0049235 -0.08511 2.7392 66.588 0 -0.062965 -0
600.16 -17.168 5.6147 2.5176 -0.002224 -0.078261 2.7378 66.655 0 -0.12467 -0
600.18 -17.178 5.5676 2.5084 0.00030391 -0.072102 2.7365 66.929 0 -0.11615 -0
600.2 -17.188 5.5204 2.5071 0.0023947 -0.066301 2.7351 66.862 0 -0.056722 -0
600.22 -17.197 5.4731 2.5065 0.0040075 -0.061278 2.7337 66.727 0 -0.0095673 -0
600.24 -17.206 5.4259 2.5064 0.0052337 -0.057281 2.7323 66.794 0 0.0061271 -0
600.26 -17.214 5.3786 2.5066 0.0061415 -0.053986 2.7309 66.862 0 -0.022274 -0
600.28 -17.221 5.3315 2.4932 0.0067513 -0.051192 2.7296 67.065 0 -0.090249 -0
600.3 -17.228 5.2844 2.4795 0.0075091 -0.048579 2.7284 67.204 0 -0.15868 -0
600.32 -17.227 5.2344 2.4683 0.0083611 -0.045931 2.7273 66.997 0 -0.18856 -0
600.34 -17.233 5.1878 2.4581 0.0089666 -0.043467 2.7263 66.862 0 -0.19661 -0
600.36 -17.179 5.1556 2.4499 0.0097879 -0.041244 2.7253 66.862 0 -0.22526 -0
600.38 -17.184 5.1099 2.4424 0.010519 -0.039151 2.7243 66.862 0 -0.29334 -0
600.4 -17.188 5.0642 2.4315 0.011346 -0.037547 2.7233 66.929 0 -0.35867 -0
600.42 -17.192 5.0186 2.4207 0.012421 -0.036571 2.7226 66.727 0 -0.40367 -0
600.44 -17.196 4.9732 2.4121 0.013426 -0.036069 2.7218 66.52 0 -0.37204 -0
600.46 -17.199 4.9279 2.4034 0.014288 -0.036282 2.7211 66.385 0 -0.30486 -0
600.48 -17.202 4.8826 2.3934 0.015049 -0.037401 2.7204 66.385 0 -0.22681 -0
600.5 -17.204 4.8375 2.3834 0.015651 -0.039336 2.7198 66.25 0 -0.15733 -0
600.52 -17.206 4.7925 2.3767 0.016233 -0.04222 2.7191 65.566 0 -0.062604 -0
600.54 -17.207 4.7475 2.3713 0.016775 -0.045814 2.7185 65.224 0 0.027264 -0
600.56 -17.167 4.6778 2.3646 0.01682 -0.049811 2.716 65.089 0 0.1077 -0
600.58 -17.168 4.6322 2.3581 0.016848 -0.05403 2.7136 64.815 0 0.17627 -0
600.6 -17.168 4.5869 2.3531 0.016819 -0.058113 2.7114 64.747 0 0.24779 -0
600.62 -17.167 4.5448 2.3481 0.016652 -0.061562 2.7093 64.338 0.0079246 0.36024 -0
600.64 -17.167 4.4997 2.344 0.016334 -0.064369 2.7073 64 0.038593 0.46005 -0
600.66 -17.165 4.4548 2.34 0.016026 -0.066326 2.7055 63.793 0.1137 0.48806 -0
600.68 -17.164 4.41 2.3346 0.015463 -0.067435 2.7038 63.793 0.19734 0.40921 -0
600.7 -17.162 4.3653 2.3293 0.014709 -0.0677 2.7022 64.135 0.23094 0.27775 -0
600.72 -17.16 4.3207 2.3228 0.013962 -0.06701 2.7008 64.612 0.18593 0.14011 -0
600.74 -17.157 4.2763 2.3159 0.013627 -0.065189 2.6996 65.022 0.10216 0.056205 -0
600.76 -17.127 4.2676 2.3105 0.014165 -0.061879 2.7011 65.089 0.018698 0.009852 -0
600.78 -17.124 4.2243 2.3053 0.015043 -0.057997 2.7028 65.156 -0.022774 -0.016367 -0
600.8 -17.12 4.1812 2.2995 0.016128 -0.053877 2.7045 65.291 -0.019561 -0.050904 -0
600.82 -17.116 4.1382 2.2937 0.017303 -0.049777 2.7062 65.291 0.0091687 -0.073715 -0
600.84 -17.112 4.0954 2.2891 0.018428 -0.045904 2.7079 65.431 0.036918 -0.067657 -0
600.86 -17.107 4.0527 2.2847 0.019427 -0.042185 2.7096 65.499 0.044396 -0.035763 -0
600.88 -17.101 4.0102 2.2824 0.020256 -0.03879 2.7112 65.701 0.030187 0.0026114 -0
600.9 -17.095 3.9678 2.2803 0.020994 -0.03592 2.7127 65.701 0.034547 0.08523 -0
600.92 -17.089 3.9256 2.2763 0.021675 -0.033499 2.7142 65.566 0.11671 0.23844 -0
600.94 -17.088 3.8832 2.2718 0.022279 -0.031589 2.7157 65.364 0.30805 0.47891 -0
600.96 -17.042 3.8671 2.269 0.022693 -0.030319 2.718 65.431 0.48488 0.62407 -0
600.98 -17.033 3.8257 2.2665 0.023024 -0.029033 2.7202 65.291 0.51758 0.5645 -0
601 -17.024 3.7845 2.2628 0.023261 -0.027812 2.7223 65.224 0.38513 0.34875 -0
601.02 -17.015 3.7435 2.2593 0.023887 -0.026026 2.7244 65.156 0.20989 0.16363 -0
601.04 -17.006 3.7029 2.2567 0.025314 -0.023128 2.7264 65.089 0.072111 0.03258 -0
601.06 -16.996 3.6624 2.2543 0.027659 -0.019256 2.7284 65.089 0.020452 -0.049802 -0
